Date,"Bitcoin","Cryptocurrency"
2021-09-02,12081,9497
2021-09-03,12579,9318
2021-09-04,11663,8897
2021-09-05,13271,10122
2021-09-06,12968,9999
2021-09-07,21755,11440
2021-09-08,20941,10457
2021-09-09,19133,11935
2021-09-10,16081,10943
2021-09-11,12856,10321
2021-09-12,14603,10685
2021-09-13,13470,11083
2021-09-14,13757,10229
2021-09-15,13803,10098
2021-09-16,14630,10353
2021-09-17,15599,10049
2021-09-18,16884,9143
2021-09-19,16199,9748
2021-09-20,15770,10682
2021-09-21,16592,10704
2021-09-22,16831,10987
2021-09-23,21236,11154
2021-09-24,39384,13381
2021-09-25,37543,12503
2021-09-26,36710,11719
2021-09-27,27880,12577
2021-09-28,31712,10861
2021-09-29,14282,10443
2021-09-30,10945,9843
2021-10-01,11741,9228
2021-10-02,12986,8076
2021-10-03,14515,8012
2021-10-04,14678,10595
2021-10-05,17049,12249
2021-10-06,18090,13693
2021-10-07,15992,13383
2021-10-08,16157,11424
2021-10-09,14670,10890
2021-10-10,14524,11004
2021-10-11,15591,11960
2021-10-12,16285,11951
2021-10-13,16112,11448
2021-10-14,14075,10434
2021-10-15,16329,11096
2021-10-16,16108,10824
2021-10-17,14794,10476
2021-10-18,16011,11494
2021-10-19,15365,11819
2021-10-20,19033,12412
2021-10-21,17364,12569
2021-10-22,14741,11227
2021-10-23,14654,11218
2021-10-24,17498,13531
2021-10-25,16078,14789
2021-10-26,17552,16152
2021-10-27,18158,19549
2021-10-28,21331,21386
2021-10-29,19159,19539
2021-10-30,18101,18515
2021-10-31,13973,20720
2021-11-01,14999,21824
2021-11-02,19306,19794
2021-11-03,15246,14675
2021-11-04,14206,11893
2021-11-05,14764,11906
2021-11-06,13709,12832
2021-11-07,13678,14001
2021-11-08,16327,15431
2021-11-09,19110,17991
2021-11-10,18656,19845
2021-11-11,17425,17789
2021-11-12,16934,17801
2021-11-13,16601,16717
2021-11-14,17591,17020
2021-11-15,17723,16817
2021-11-16,19544,17809
2021-11-17,17990,20946
2021-11-18,18127,23183
2021-11-19,15971,17840
2021-11-20,13771,17201
2021-11-21,13363,15112
2021-11-22,15079,15035
2021-11-23,16900,20947
2021-11-24,19028,37856
2021-11-25,15544,25236
2021-11-26,15051,19090
2021-11-27,14226,16412
2021-11-28,13007,14324
2021-11-29,14656,15586
2021-11-30,15163,17271
2021-12-01,13346,14522
2021-12-02,13423,13959
2021-12-03,12765,12709
2021-12-04,17002,14068
2021-12-05,14847,13520
2021-12-06,15131,14145
2021-12-07,17064,14621
2021-12-08,15302,13812
2021-12-09,13237,13475
2021-12-10,11216,12761
2021-12-11,10696,9715
2021-12-12,12124,9428
2021-12-13,12747,10730
2021-12-14,13406,11187
2021-12-15,12173,10621
2021-12-16,11164,9904
2021-12-17,10837,9568
2021-12-18,9933,8192
2021-12-19,9553,7631
2021-12-20,10903,8224
2021-12-21,10400,7863
2021-12-22,10356,8198
2021-12-23,9643,7732
2021-12-24,9335,7325
2021-12-25,8953,7193
2021-12-26,10100,8594
2021-12-27,10648,9139
2021-12-28,10617,9749
2021-12-29,11142,8979
2021-12-30,11095,8701
